text,spam
plg yth no. Anda terpilih menang cek Rp.100jt dr PT.TELKOMSEL HUT TELKOMSEL Ke-17 thn 2012 hub call center: 085313311113,True
Dapatkan Segera TIKET Murah   Promo DiTRAVEL Kmi.Untuk Penerbangan Domestik   Internasional ONLINE BOOKING 24 Jam Anda Berminat Hub:085318303276,True
Tolong uangnya dikirim aja kesini BANK DANAMON a/n Farida hanum No rek  0035-3918-4014. SMS aja klo udah dikirim.Trims,True
Sy RUDI di jambi. bgi tman2 yg sering kalah Togel saatnya kalahkan bandar hub mbah ROS 082325557768 di jamin tembus. sy sdh buktikan 4D 50jt.,True
Penawaran terbatas software SMS gateway utk iklan SMS. pilkada. sekolah. instansi. kampus dll. Harga promo rp. 100.000 hub:jasa advertising corp 085727088813 24jam.,True
Di transfer saja Uangnya ke rekening BNI ini. a/n. ISMAWATI. Rek: 0248147033. SMS saja klo sdh kirim.,True
Uangnya dikirim saja ke Rek. BANK BNI A/n. : Sdr ABDUL RAHMAN No. Rek. : 024-8721-191 SMS saja kalau sudah dikirim. terima kasih,True
Transfer saja uangnya ke rek ini.mandiri.NO Rek: 152-00-1236312-9.a/n:DARMAN. klau sdah di Transfer SMS saja ke nmor ini Trima kasih,True
Seminar ke Denpasar Bali mewakili kemahasiswaan   kewirausahaan dapat biaya transport Rp 10 juta. Nomor Peserta 100/semnas/9997175/dikti/2011. Direktur Kemahasiswaan DIKTI Prof. Dr. Joko Purwanto. M.Si. Hubungi 081281108799 Wahyudin Zarkasi. No. referensi PTX:001/3591/0100/1572/503,True
Yth Isti Sofiyah. Diminta Segera Hubungi Bpk Drs.H .Lalu S i’ i M.P . K i i NT . 08531166 6557 Perihal Seminar Gratis Dari DIKTI.  Bu Sri TU.Diknas ,True
Butuh Dana Tunai Cepat 25-250 Juta Dgn Bunga Rendah 1.35  Flat/Bln Proses Dijamin 3 Hari Syarat Mudah Info Ibu YANI : 081218986001,True
Dijual ticket SUPER JUNIOR TGL 28/29 APRIL dan LADY GAGA TGL 03 JUNI harga Gold 2.25jt tribun3 1.25jt info hub 0853-9937-1888 lady-ticket.webs.com,True
meganai Ruma bpk/ibu yg mau di jual sd di surpai dan sy berminat sy tlpn tdk bisa tembus masalah harga hub suami sy 085399700354 Dr.H.IRAWAN,True
Manfaatkan segera creditCard anda utk apply pinjaman 20-250jt ada cashback berminat hub: Bintang 021-27450166.tks,True
Nasabah Yth Dapatkan Solusi untuk Masalah Keuangan Anda 10 s/d 300 jt Rate ringan.proses 3hr Syrat ktp   card Info:Abu tlp 83622112 hp 081298222100,True
Berbagai Promo BlackBerry Onyx2 9780 Rp1.5jt   Torch 9800 Rp2jt Info SMS/hub: 085322215000 a/kunjungi:www.hary-shop-online.blogspot.com,True
Uangnya di Trnsfer di BNI ini aja a/n RASTINA NO.REK.0253 7915 37.Klo sdh d Trnsfer SMS i i i 085293355598 T .” D i : 6285315904528,True
Tolong uangnya dikirim aja kesini BANK DANAMON a/n Farida hanum #10 No rek  0035-3918-4014 SMS aja klo udah dikirim.Trims,True
Tolong kirimin mama pulsa. Skrng penting! Jangan telpon balik. Mama lg d kantor polisi,True
Ini bpk lg pinjam Hp org.tlong beliin bpk pls 20rb k nomor ini 085215126428. bpk lg ada mslh d kntr polisi. Jgn d tlpn/SMS dl. Nnti bpk yg tlpn.skrg pnting,True
PRIMA CELL Cari agen jual pulsa ALL oprator HARGA  P5 :4500 P10:8500 P20:17000 P50:45000 U/ Info ketik:PRIMA kirim ke:085322213339 atau HUB CS:082347288777,True
maaf sy ibu johar. melanjuti hasil survey terhadap rumah ibu yg mau dijual kami rasa itu cocok dan minat u/info harga mhn hub suami sy Bpk H. Laode Hp 081210511553,True
Nikmati Paket HEMAT BlackBerry AXIS di tanah suci. hanya Rp69.500/minggu. Sebarkan berita baik ini ke kerabat kamu yg akan umroh. AXIS Dijamin HEMATNYA!Info838,True
Penawaran terbatas software SMS gateway utk iklan SMS. pilkada. sekolah. instansi. kampus dll. Harga promo rp. 100.000 hub:jasa advertising corp 085727088813 24jam,True
Saya Martinus. mnt tlg krmkan pulsa ke No.08138664129 brp aja buat hub keluarga tmn sy. yng kecelakaan di tengah hutan. kondisix sangat parah. sblmx trima kasih,True
Tolong belikan dulu Mama Pulsa Rp20.ribu di nomor baru Mama. Ini nomornya. 081284104522 secepatnya ya.. Penting. Nanti Mama ganti uangnya. Sekarang Mama Tunggu ya,True
Maaf Melalui SMS. kalau mau di trus.in atau byar sewa kontrakan rumahnya. ke adik saya Herdian hp 085222288580. Soal.nya da di kuasakan/di jual ke adik Trimks.,True
SID@MUNCUL  SIDOMUNCUL Selamat! SimCard Anda mendptkan hadiah Rp.15jt. dr KukuBima ENER-G!. U/Info hub ktr PT.SIDOMUNCUL:  #13 021 - 4919 1267,True
BERANI CELLULAR. DISKON 50  berbagai promo type blackberry DAKOTA 2.6jt. TORCH 2jt. ONYX2 1.8jt. INFO SMS/CALL 085339821    atau kunjungi www.   .blogspot.com,True
U U y i e i i i i . e NI.”0253-62-1190  A/N  S i “WA ODE UMURIA” D i 6285249675096,True
Sahril memperbaharui statusnya:  Bahagialah kau di sanaaaaa...  Lihat selengkapnya di https://fb.com/l/29Lelu45zXAIALHH Balas dengan komentar atau suka.,True
PESAN RESMI dari Bima 3Care  Slmt Anda mdpt Hadiah 1 Unit Mobil Honda JAZZ RS. No. PIN Pemenang Anda: 25AS547. Utk Info Kunjungi www.gebyarhadiah-bima3.jimdo.com,True
Game Togel Online Rupiah asli  Permainan Live streaming Dingdong  Hanya di www.brotogel4.net ! Situs togel terbaik dengan diskon hadiah terbaik di kelasnya!,True
Ayana Village  Rumah cantik 100jt an   Ruko 300jt an dkt stasiun 3raksa. Cicil 15 thn PASTI DISETUJUI. Event 21 Agst 16 Menara Top Food Alam Sutra. 082297771902,True
Poker online No Bot! Bonus referral   cashback  Mega   Regular jackpot senilai ratusan juta  join di www.pokerboya3.net min Dp 25rb  tersedia aplikasi Android.,True
DANA TUNAI! GADAI BPKB MOBIL/MOTOR NON BI CHECKING Bunga Rendah/ Provisi 0  1 HARI CAIR / max Tenor 4 Thn RIO 081322222749 / 081912222961 5F81B74B,True
